,title,price,rating,availability
0,Frankenstein,£38.00,Two,In stock
1,Forever Rockers (The Rocker #12),£28.80,Three,In stock
2,Fighting Fate (Fighting #6),£39.24,Three,In stock
3,Emma,£32.93,Two,In stock
4,"Eat, Pray, Love",£51.32,Three,In stock
5,Deep Under (Walker Security #1),£47.09,Five,In stock
6,Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42,Four,In stock
7,Charlie and the Chocolate Factory (Charlie Bucket #1),£22.85,Three,In stock
8,Charity's Cross (Charles Towne Belles #4),£41.24,One,In stock
9,Bright Lines,£39.07,Five,In stock
10,Bridget Jones's Diary (Bridget Jones #1),£29.82,One,In stock
11,Bounty (Colorado Mountain #7),£37.26,Four,In stock
12,Blood Defense (Samantha Brinkman #1),£20.30,Three,In stock
13,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65,Five,In stock
14,Beyond Good and Evil,£43.38,One,In stock
15,Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,One,In stock
16,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",£57.06,Four,In stock
17,A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,In stock
18,1st to Die (Women's Murder Club #1),£53.98,One,In stock
19,"1,000 Places to See Before You Die",£26.08,Five,In stock
